year_month,active_users,total_posts
2022-06,2,2
2022-07,15,17
2022-08,4,4
2022-09,1,1
2022-10,3,3
2022-11,5,5
2022-12,1,1
2023-01,13,15
2023-02,6,6
2023-03,4,4
2023-04,10,10
2023-05,7,7
2023-06,9,9
2023-07,2,2
2023-08,14,14
2023-09,31,32
2023-10,30,33
2023-11,34,39
2023-12,29,29
2024-01,48,53
2024-02,54,60
2024-03,55,61
2024-04,16,16
2024-05,67,73
2024-06,61,68
2024-07,55,60
2024-08,65,76
2024-09,63,69
2024-10,65,72
2024-11,51,54
2024-12,49,52
2025-01,58,65
2025-02,54,57
2025-03,50,52
2025-04,42,48
2025-05,44,47
2025-06,9,10
